source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
bronze,sales_data_bronze_20260813_115513,transaction_date,silver,sales_data_20260813_115513_silver,transaction_date,date,date_standardise_yyyy_mm_dd
bronze,sales_data_bronze_20260813_115513,category,silver,sales_data_20260813_115513_silver,category,text,title_case
bronze,sales_data_bronze_20260813_115513,product_name,silver,sales_data_20260813_115513_silver,product_name,text,strip
bronze,sales_data_bronze_20260813_115513,*,silver,sales_data_20260813_115513_silver,*,deduplicate,deduplicate
bronze,products_bronze_20260813_115513,transaction_date,silver,products_20260813_115513_silver,transaction_date,date,date_standardise_yyyy_mm_dd
bronze,products_bronze_20260813_115513,category,silver,products_20260813_115513_silver,category,text,title_case
bronze,products_bronze_20260813_115513,product_name,silver,products_20260813_115513_silver,product_name,text,strip
bronze,products_bronze_20260813_115513,*,silver,products_20260813_115513_silver,*,deduplicate,deduplicate
bronze,stores_bronze_20260813_115513,transaction_date,silver,stores_20260813_115513_silver,transaction_date,date,date_standardise_yyyy_mm_dd
bronze,stores_bronze_20260813_115513,category,silver,stores_20260813_115513_silver,category,text,title_case
bronze,stores_bronze_20260813_115513,product_name,silver,stores_20260813_115513_silver,product_name,text,strip
bronze,stores_bronze_20260813_115513,*,silver,stores_20260813_115513_silver,*,deduplicate,deduplicate
