source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
landing,sales_data,transaction_id,bronze,sales_data_bronze,transaction_id,type_cast,int
landing,sales_data,transaction_date,bronze,sales_data_bronze,transaction_date,type_cast,datetime
landing,sales_data,store_id,bronze,sales_data_bronze,store_id,type_cast,int
landing,sales_data,product_id,bronze,sales_data_bronze,product_id,type_cast,int
landing,sales_data,product_name,bronze,sales_data_bronze,product_name,type_cast,str
landing,sales_data,category,bronze,sales_data_bronze,category,type_cast,str
landing,sales_data,quantity,bronze,sales_data_bronze,quantity,type_cast,int
landing,sales_data,unit_price,bronze,sales_data_bronze,unit_price,type_cast,float
landing,sales_data,total_amount,bronze,sales_data_bronze,total_amount,type_cast,float
landing,sales_data,customer_segment,bronze,sales_data_bronze,customer_segment,type_cast,str
landing,sales_data,payment_method,bronze,sales_data_bronze,payment_method,type_cast,str
landing,sales_data,_load_timestamp,bronze,sales_data_bronze,_load_timestamp,metadata_inject,datetime_now_utc
landing,sales_data,_source_file,bronze,sales_data_bronze,_source_file,metadata_inject,source_path
landing,products,product_id,bronze,products_bronze,product_id,type_cast,int
landing,products,product_name,bronze,products_bronze,product_name,type_cast,str
landing,products,category,bronze,products_bronze,category,type_cast,str
landing,products,standard_price,bronze,products_bronze,standard_price,type_cast,float
landing,products,_load_timestamp,bronze,products_bronze,_load_timestamp,metadata_inject,datetime_now_utc
landing,products,_source_file,bronze,products_bronze,_source_file,metadata_inject,source_path
landing,stores,store_id,bronze,stores_bronze,store_id,type_cast,int
landing,stores,store_name,bronze,stores_bronze,store_name,type_cast,str
landing,stores,region,bronze,stores_bronze,region,type_cast,str
landing,stores,city,bronze,stores_bronze,city,type_cast,str
landing,stores,state,bronze,stores_bronze,state,type_cast,str
landing,stores,_load_timestamp,bronze,stores_bronze,_load_timestamp,metadata_inject,datetime_now_utc
landing,stores,_source_file,bronze,stores_bronze,_source_file,metadata_inject,source_path
